titulo,subtitulo,fecha,url,audience,post_type,tipo_clasificado,metodo_extraccion_usado,body_text,body_length,transcript_text,transcript_length,transcript_source,combined_text,combined_length,media_upload_ids,duracion_media,estado_extraccion,notas
"Sí, las cuentas en participación pagan un 1%… y no, tu asesor de siempre no tiene ni idea de por qué..",,2025-11-07T08:12:15.866Z,https://fiscalizarte.substack.com/p/si-las-cuentas-en-participacion-pagan,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
El error caro al “meter tus pisos” en una SL: cálculos claros para no regalar dinero a Hacienda,,2025-11-05T16:20:38.213Z,https://fiscalizarte.substack.com/p/el-error-caro-al-meter-tus-pisos,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Email importante. No te pierdas este contenido.,,2025-10-29T17:07:03.619Z,https://fiscalizarte.substack.com/p/email-importante-no-te-pierdas-este,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
🚀 ¿Tienes criptos que se han disparado de valor? Cuidado con venderlas como particular… y atención si piensas meterlas en una SL,,2025-10-29T08:43:21.233Z,https://fiscalizarte.substack.com/p/tienes-criptos-que-se-han-disparado,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
"🧾 ¿Comprar, reformar y vender pisos como autónomo o como persona física? La clave fiscal que puede cambiar tu rentabilidad",,2025-10-22T07:37:13.241Z,https://fiscalizarte.substack.com/p/comprar-reformar-y-vender-pisos-como,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
"💻 ¿Vas a crear una sociedad sin poner dinero en efectivo? Sí, se puede… y esto es lo que debes saber sobre los impuestos",,2025-10-15T07:29:00.173Z,https://fiscalizarte.substack.com/p/vas-a-crear-una-sociedad-sin-poner,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
🌍 ¿Vives en el extranjero y estás invirtiendo en inmuebles en España? Entonces esta pregunta te interesa (y mucho),,2025-10-08T07:24:58.317Z,https://fiscalizarte.substack.com/p/vives-en-el-extranjero-y-estas-invirtiendo,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Clase 20: Operaciones de Flips: ¿Cuándo actividad económica?,,2025-10-05T09:39:08.420Z,https://fiscalizarte.substack.com/p/clase-20-operaciones-de-flips-cuando,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,fdf35809-afc2-46af-a850-ce8c9774f4b5 | 8c4d25d1-932f-410d-8d96-f1015f222bea,1475.3 | 1475.213,PENDIENTE,Preparado para extracción final
👔 ¿Tienes una sociedad patrimonial? Ojo: podrías estar obligado a darte de alta en autónomos (aunque no lo creas),,2025-10-01T07:19:37.783Z,https://fiscalizarte.substack.com/p/tienes-una-sociedad-patrimonial-ojo,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Clase 19: Cálculo de Ganancias y Pérdidas Patrimoniales en IRPF,Así se calcula la ganancia patrimonial en una operación de Flipping House.,2025-09-28T08:53:52.043Z,https://fiscalizarte.substack.com/p/clase-19-calculo-de-ganancias-y-perdidas,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,0d8737bb-4ef9-4244-8a67-1025e2580571 | a1db5f47-d25c-454a-9119-0e5f055eae09,1314.5 | 1314.3511,PENDIENTE,Preparado para extracción final
🏠 ¿Vendiste tu vivienda habitual tras casarte en gananciales? ,Cuidado con estos errores fiscales que pueden salirte muy caros,2025-09-24T08:15:31.473Z,https://fiscalizarte.substack.com/p/vendiste-tu-vivienda-habitual-tras,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Clase 18: Conoce la Base del Ahorro del IRPF.,Invierte en el sector inmobiliario a través de la base del ahorro del IRPF.,2025-09-22T09:39:16.475Z,https://fiscalizarte.substack.com/p/clase-18-conoce-la-base-del-ahorro,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,13646189-53ee-4c5e-985b-98c74343e965 | 9ddd541e-7133-4ec6-8d7b-a0432ee2f211,1253.0333 | 1252.8326,PENDIENTE,Preparado para extracción final
